t,s,d,vs,vd,s_var,vs_var,d_var,vd_var,visible
1762168819.004975319,0.23356819656561,0.28182212984956484,-0.0022328593405107787,-0.0007274258271007562,0.024732105492736727,0.28319469966698446,0.02319001136273575,0.2185869616933535,1
1762168819.055028915,0.2530585753536919,0.2647224457003615,0.04573553323905149,0.020563496358253934,0.01322465849165782,0.16474249963598075,0.012777859708641566,0.1402497789918533,1
1762168819.104936600,0.2561916122521321,0.22860934026738927,0.09125942073838904,0.006611014376682609,0.009414128064734286,0.11519679800481934,0.009182485771230372,0.10252085426837504,1
1762168819.154918909,0.2836495100673886,0.21022649636461002,0.17915061681427016,-0.02364993691903664,0.006593765623286345,0.07854723648368508,0.0064798853103202264,0.07233618158591354,1
1762168819.204629421,0.30488921688930903,0.17897165243570684,0.23413764562856282,-0.03240898386743228,0.005879842619504841,0.06449947879653448,0.005784669192551549,0.06024413096912981,1
1762168819.254998922,0.33011716337997593,0.1545409608106994,0.2836113115657851,-0.04105035216841659,0.005429219804134412,0.0541807884487615,0.005345422714937828,0.05114774027001336,1
1762168819.304653645,0.3581411380148862,0.13295975162287216,0.325549802181426,-0.04387345511319811,0.005118224287752341,0.046261679935566465,0.005042984121797735,0.044039793593372865,1
1762168819.354761362,0.42545345002495605,0.12814602658482865,0.3992989762275476,-0.026799225263589327,0.004897035093168935,0.04002727091058645,0.004828712908614944,0.03836632953704273,1
1762168819.404622316,0.47644796790617755,0.11855122223891072,0.5051535935300195,0.0015077651548246322,0.004727018967391783,0.03500928041612407,0.004664843754303498,0.03374883773262575,1
1762168819.454850197,0.5235371858681533,0.10651821115995415,0.6111500425490826,0.023770225541351265,0.004590120044558538,0.030915885860674872,0.004533544568713638,0.029948085927377105,1
1762168819.504639864,0.5797125055745671,0.10229785290227761,0.667204949961371,0.020772932454325366,0.004099438433860127,0.025966592943254617,0.0040570398420540135,0.02529270719551878,1
1762168819.554902792,0.6263815288109384,0.08938725798274734,0.6922415186899402,0.019228212377200727,0.004062062546378266,0.023638903605089537,0.004022050647651736,0.02310093267888286,1
1762168819.604639292,0.672077827235047,0.07891123718460318,0.7202261260321666,0.014422129499882978,0.0040225803284654905,0.02162831811972223,0.003985244214352306,0.02119832555294797,1
1762168819.654759884,0.7225536582868034,0.06970733412351006,0.7445576378086506,0.010067789675069529,0.003980123139706004,0.01989640777195339,0.0039456096075082825,0.01955233370323943,1
1762168819.704687834,0.7689981705980574,0.06301201432122056,0.762427768179456,0.009868419500829945,0.003934511700168352,0.018408083579818976,0.003902858732844878,0.018132488220708176,1
1762168819.755043268,0.8194862674685872,0.055041820243837664,0.7788268508521694,0.008868673127368148,0.0038862527483616268,0.017132395118195125,0.0038574150882402865,0.016911471269509756,1
1762168819.804992676,0.8672682331629127,0.04790840731850648,0.7957406901632413,0.007056968984799725,0.003835030020706446,0.016039016213904942,0.003808916311378918,0.0158618179250378,1
1762168819.855003357,0.912831684187695,0.03998475180510764,0.8119249777401812,0.002208541900216005,0.0037823597627532355,0.015105454545312619,0.0037588293658687316,0.014963277677764343,1
1762168819.904698610,0.9636241366295325,0.03513315751079629,0.8243524168575884,-0.0002837555305004784,0.0037292622707120844,0.014310685775540344,0.003708149729589425,0.014196605271869216,1
1762168819.954687834,1.00645218147827,0.028986668991227635,0.8318411421037284,-0.0015880924757458788,0.0036755600743458633,0.01363308008129596,0.0036566963388385736,0.013541576121043513,1
1762168820.004624605,1.0545470986140535,0.022303383201877955,0.8393280396106274,-0.0033632188460001903,0.0036231080851865383,0.013059635116794008,0.003606310426086613,0.01298629118896518,1
1762168820.054892063,1.107667018225052,0.01673953356239286,0.8496125470851318,-0.006544529403512242,0.003572343172927176,0.012575554717520598,0.0035574337850772016,0.01251683608580816,1
1762168820.104978323,1.1488533725308265,0.01206081195133246,0.8537998503073123,-0.007759218674809934,0.003785762671880075,0.012706843597700879,0.0037705056372310092,0.012654621386406802,1
1762168820.154596329,1.202452550693538,0.005743815713302141,0.8666221321527312,-0.011506272593946088,0.003446990518021946,0.011722257185953742,0.0034355764857399297,0.01168552424377229,1
1762168820.204615355,1.2498097684132161,-9.9925166911951e-05,0.8744632718511012,-0.0141468496110549,0.0034060728342973313,0.011457200177407393,0.003396016338129524,0.011427903311224752,1
1762168820.255028963,1.2990825563842365,-0.0045156279859079815,0.8815132329888673,-0.017784832618965508,0.0033676572302650453,0.011235664219530475,0.003358828334427306,0.011212380042932108,1
1762168820.304981232,1.344876783072718,-0.009998385769488157,0.8853838610366618,-0.02099825520763667,0.0033311299024092788,0.011048823654790492,0.003323408917845182,0.011030391707787687,1
1762168820.354677677,1.397986919264133,-0.012307981217419838,0.8940054998704248,-0.0205297303871567,0.003296907999650982,0.010892470838050358,0.0032901818430998197,0.010877943258796223,1
1762168820.405370712,1.4535380571319028,-0.01335955047604932,0.9108397042417031,-0.016918570342230984,0.003071567551489874,0.010406816397175353,0.003066406070533767,0.010396582467682247,1
1762168820.455232382,1.504028770520557,-0.010484253054910493,0.9198716629516783,-0.010892332669505669,0.0030690758906228416,0.010389153576289993,0.003064545746533449,0.010381033898336845,1
