#x_m,y_m,w_tr_right_m,w_tr_left_m
-1.23,5.470000000000001,1.3589002803605372,0.6780109889280519
-1.33,5.42,1.3589002803605372,0.6658910531638177
-1.4300000000000002,5.42,1.3156500283747663,0.6933034373659254
-1.5300000000000002,5.370000000000001,1.3256816492197605,0.6882411530116701
-1.58,5.32,1.3580127840328724,0.6658910531638177
-1.6800000000000002,5.32,1.3329316685939332,0.711577310586391
-1.78,5.270000000000001,1.364213562373095,0.7132168761236874
-1.83,5.220000000000001,1.3730249470757707,0.7000000000000001
-1.9300000000000002,5.120000000000001,1.3101470508735444,0.6882411530116701
-1.98,5.07,1.2738202294873728,0.6711102550927979
-2.0300000000000002,5.020000000000001,1.2354960132182442,0.6606335201775948
-2.08,4.92,1.214911064067352,0.6217514421272202
-2.13,4.82,1.2000000000000002,0.5903124237432849
-2.18,4.770000000000001,1.1675795661885922,0.6019202405202649
-2.23,4.67,1.1520815280171308,0.5903124237432849
-2.2800000000000002,4.57,1.126860229593982,0.5764982043070834
-2.2800000000000002,4.520000000000001,1.1384864324004713,0.5520797289396148
-2.33,4.42,1.1,0.53309518948453
-2.38,4.32,1.05,0.5352349955359813
-2.38,4.270000000000001,1.05,0.520087712549569
-2.38,4.17,1.05,0.4885164807134504
-2.43,4.07,1.0,0.5090169943749475
-2.43,3.9700000000000006,0.9940306508910551,0.5
-2.43,3.870000000000001,0.969803902718557,0.5
-2.38,3.7700000000000014,1.0047511554864494,0.45
-2.38,3.67,0.9807764064044152,0.45
-2.38,3.5700000000000003,0.9611874208078343,0.45
-2.38,3.4700000000000006,0.9512492197250394,0.45
-2.38,3.370000000000001,0.9462429422585639,0.45
-2.38,3.2700000000000014,0.92082439194738,0.45
-2.38,3.17,0.8986832980505138,0.45
-2.33,3.120000000000001,0.932344135219425,0.4
-2.33,3.0200000000000014,0.9117692030835672,0.4027692569068709
-2.33,2.92,0.8840770846134703,0.42434164902525695
-2.2800000000000002,2.8200000000000003,0.9117692030835672,0.4
-2.2800000000000002,2.7200000000000006,0.8840770846134703,0.4
-2.2800000000000002,2.620000000000001,0.8444271909999159,0.4
-2.2800000000000002,2.5700000000000003,0.823212459828649,0.4027692569068709
-2.23,2.4700000000000006,0.8360022573334676,0.37720018726587656
-2.23,2.370000000000001,0.8,0.4
-2.18,2.2700000000000014,0.8044003745317531,0.35311288741492747
-2.18,2.17,0.7746211251235322,0.37720018726587656
-2.13,2.0700000000000003,0.7881527307120106,0.35000000000000003
-2.13,1.9700000000000006,0.7577747210701755,0.35311288741492747
-2.13,1.870000000000001,0.7262087348130013,0.37720018726587656
-2.08,1.8200000000000003,0.756225774829855,0.35000000000000003
-2.08,1.7200000000000006,0.711577310586391,0.35311288741492747
-2.0300000000000002,1.620000000000001,0.7262087348130013,0.33078865529319545
-2.0300000000000002,1.5700000000000003,0.711577310586391,0.35311288741492747
-1.98,1.4700000000000006,0.7132168761236874,0.35311288741492747
-1.9300000000000002,1.370000000000001,0.711577310586391,0.35311288741492747
-1.9300000000000002,1.3200000000000003,0.6882411530116701,0.3623105625617661
-1.8800000000000001,1.2200000000000006,0.6882411530116701,0.35311288741492747
-1.83,1.120000000000001,0.6933034373659254,0.35311288741492747
-1.78,1.0200000000000014,0.711577310586391,0.35311288741492747
-1.78,0.9700000000000006,0.6882411530116701,0.3623105625617661
-1.73,0.870000000000001,0.6933034373659254,0.35311288741492747
-1.6800000000000002,0.7699999999999996,0.711577310586391,0.35311288741492747
-1.6800000000000002,0.7200000000000006,0.6933034373659254,0.3623105625617661
-1.63,0.620000000000001,0.711577310586391,0.35311288741492747
-1.58,0.5199999999999996,0.7262087348130013,0.35000000000000003
-1.58,0.41999999999999993,0.6882411530116701,0.3623105625617661
-1.5300000000000002,0.3200000000000003,0.6933034373659254,0.35311288741492747
-1.48,0.2699999999999996,0.7262087348130013,0.3405124837953327
-1.4300000000000002,0.16999999999999993,0.7326237921249265,0.3742640687119285
-1.38,0.120000000000001,0.7577747210701755,0.35311288741492747
-1.38,0.019999999999999574,0.7262087348130013,0.37720018726587656
-1.33,-0.08000000000000007,0.7326237921249265,0.38011626335213133
-1.2799999999999998,-0.17999999999999972,0.7405694150420948,0.37720018726587656
-1.23,-0.23000000000000043,0.7746211251235322,0.35311288741492747
-1.23,-0.33000000000000007,0.7326237921249265,0.4109772228646444
-1.1800000000000002,-0.4299999999999997,0.7405694150420948,0.35000000000000003
-1.1800000000000002,-0.5299999999999994,0.711577310586391,0.35311288741492747
